;Unnamed: 0;data dostawy;indeks;kurs (PLN/MWh lub PLN/toe);wolumen (MWh lub toe);ukey
1954;1954;2017-11-21;TGEkgm17;116.98;19727.68;2017-11-21/TGEkgm17
1955;1955;2017-11-21;TGEkmet17;55.25;5099.54;2017-11-21/TGEkmet17
1956;1956;2017-11-21;TGEoze;-;-;2017-11-21/TGEoze
1957;1957;2017-11-21;TGEozea;39.41;173029.38;2017-11-21/TGEozea
1958;1958;2017-11-21;TGEozebio;316.87;3658.49;2017-11-21/TGEozebio
1959;1959;2017-11-23;TGEbg;-;-;2017-11-23/TGEbg
1960;1960;2017-11-23;TGEef;471.16;3226.00;2017-11-23/TGEef
1961;1961;2017-11-23;TGEef17;470.00;100.00;2017-11-23/TGEef17
1962;1962;2017-11-23;TGEeff;-;-;2017-11-23/TGEeff
1963;1963;2017-11-23;TGEkec17;9.77;18000.00;2017-11-23/TGEkec17
1964;1964;2017-11-23;TGEkgm17;117.04;4683.66;2017-11-23/TGEkgm17
1965;1965;2017-11-23;TGEkmet17;55.28;3375.03;2017-11-23/TGEkmet17
1966;1966;2017-11-23;TGEoze;-;-;2017-11-23/TGEoze
1967;1967;2017-11-23;TGEozea;41.17;97067.26;2017-11-23/TGEozea
1968;1968;2017-11-23;TGEozebio;316.93;4749.59;2017-11-23/TGEozebio
1969;1969;2017-11-28;TGEbg;-;-;2017-11-28/TGEbg
1970;1970;2017-11-28;TGEef;457.64;2696.97;2017-11-28/TGEef
1971;1971;2017-11-28;TGEef17;460.00;200.00;2017-11-28/TGEef17
1972;1972;2017-11-28;TGEeff;-;-;2017-11-28/TGEeff
1973;1973;2017-11-28;TGEkec17;9.78;33000.00;2017-11-28/TGEkec17
1974;1974;2017-11-28;TGEkgm17;117.01;37492.73;2017-11-28/TGEkgm17
1975;1975;2017-11-28;TGEkmet17;55.28;4350.19;2017-11-28/TGEkmet17
1976;1976;2017-11-28;TGEoze;-;-;2017-11-28/TGEoze
1977;1977;2017-11-28;TGEozea;42.55;223245.95;2017-11-28/TGEozea
1978;1978;2017-11-28;TGEozebio;317.12;3828.00;2017-11-28/TGEozebio
1979;1979;2017-11-30;TGEbg;-;-;2017-11-30/TGEbg
1980;1980;2017-11-30;TGEef;447.36;2445.50;2017-11-30/TGEef
1981;1981;2017-11-30;TGEef17;-;-;2017-11-30/TGEef17
1982;1982;2017-11-30;TGEeff;-;-;2017-11-30/TGEeff
1983;1983;2017-11-30;TGEkec17;9.78;10000.00;2017-11-30/TGEkec17
1984;1984;2017-11-30;TGEkgm17;117.01;19169.28;2017-11-30/TGEkgm17
1985;1985;2017-11-30;TGEkmet17;55.27;486.91;2017-11-30/TGEkmet17
1986;1986;2017-11-30;TGEoze;-;-;2017-11-30/TGEoze
1987;1987;2017-11-30;TGEozea;43.76;112061.33;2017-11-30/TGEozea
1988;1988;2017-11-30;TGEozebio;317.20;1642.43;2017-11-30/TGEozebio
1989;1989;2017-12-05;TGEbg;-;-;2017-12-05/TGEbg
1990;1990;2017-12-05;TGEef;419.67;2949.23;2017-12-05/TGEef
1991;1991;2017-12-05;TGEef17;-;-;2017-12-05/TGEef17
1992;1992;2017-12-05;TGEeff;-;-;2017-12-05/TGEeff
1993;1993;2017-12-05;TGEkec17;9.78;43788.70;2017-12-05/TGEkec17
1994;1994;2017-12-05;TGEkgm17;117.16;20685.92;2017-12-05/TGEkgm17
1995;1995;2017-12-05;TGEkmet17;55.30;250.00;2017-12-05/TGEkmet17
1996;1996;2017-12-05;TGEoze;-;-;2017-12-05/TGEoze
1997;1997;2017-12-05;TGEozea;43.92;154190.55;2017-12-05/TGEozea
1998;1998;2017-12-05;TGEozebio;317.25;11186.35;2017-12-05/TGEozebio
1999;1999;2017-12-07;TGEbg;-;-;2017-12-07/TGEbg
2000;2000;2017-12-07;TGEef;313.50;7634.24;2017-12-07/TGEef
2001;2001;2017-12-07;TGEef17;-;-;2017-12-07/TGEef17
2002;2002;2017-12-07;TGEeff;1370.00;21.83;2017-12-07/TGEeff
2003;2003;2017-12-07;TGEkec17;9.78;16000.00;2017-12-07/TGEkec17
2004;2004;2017-12-07;TGEkgm17;117.17;20298.00;2017-12-07/TGEkgm17
2005;2005;2017-12-07;TGEkmet17;55.30;4100.00;2017-12-07/TGEkmet17
2006;2006;2017-12-07;TGEoze;-;-;2017-12-07/TGEoze
2007;2007;2017-12-07;TGEozea;46.11;91710.78;2017-12-07/TGEozea
2008;2008;2017-12-07;TGEozebio;317.71;4140.77;2017-12-07/TGEozebio
2009;2009;2017-12-12;TGEbg;-;-;2017-12-12/TGEbg
2010;2010;2017-12-12;TGEef;339.79;3591.96;2017-12-12/TGEef
2011;2011;2017-12-12;TGEef17;-;-;2017-12-12/TGEef17
2012;2012;2017-12-12;TGEeff;-;-;2017-12-12/TGEeff
2013;2013;2017-12-12;TGEkec17;9.79;26000.00;2017-12-12/TGEkec17
2014;2014;2017-12-12;TGEkgm17;117.19;20164.09;2017-12-12/TGEkgm17
2015;2015;2017-12-12;TGEkmet17;55.31;2512.86;2017-12-12/TGEkmet17
2016;2016;2017-12-12;TGEoze;-;-;2017-12-12/TGEoze
2017;2017;2017-12-12;TGEozea;45.78;233118.90;2017-12-12/TGEozea
2018;2018;2017-12-12;TGEozebio;318.18;3014.08;2017-12-12/TGEozebio
2019;2019;2017-12-14;TGEbg;-;-;2017-12-14/TGEbg
2020;2020;2017-12-14;TGEef;349.66;4146.89;2017-12-14/TGEef
2021;2021;2017-12-14;TGEef17;-;-;2017-12-14/TGEef17
2022;2022;2017-12-14;TGEeff;-;-;2017-12-14/TGEeff
2023;2023;2017-12-14;TGEkec17;9.79;35260.41;2017-12-14/TGEkec17
2024;2024;2017-12-14;TGEkgm17;117.19;19489.51;2017-12-14/TGEkgm17
2025;2025;2017-12-14;TGEkmet17;55.32;843.32;2017-12-14/TGEkmet17
2026;2026;2017-12-14;TGEoze;-;-;2017-12-14/TGEoze
2027;2027;2017-12-14;TGEozea;45.02;110201.67;2017-12-14/TGEozea
2028;2028;2017-12-14;TGEozebio;321.19;1324.00;2017-12-14/TGEozebio
2029;2029;2017-12-19;TGEbg;-;-;2017-12-19/TGEbg
2030;2030;2017-12-19;TGEef;401.26;6659.37;2017-12-19/TGEef
2031;2031;2017-12-19;TGEef17;410.00;300.00;2017-12-19/TGEef17
2032;2032;2017-12-19;TGEeff;-;-;2017-12-19/TGEeff
2033;2033;2017-12-19;TGEkec17;9.79;24800.00;2017-12-19/TGEkec17
2034;2034;2017-12-19;TGEkgm17;117.19;20895.95;2017-12-19/TGEkgm17
2035;2035;2017-12-19;TGEkmet17;55.32;1088.89;2017-12-19/TGEkmet17
2036;2036;2017-12-19;TGEoze;-;-;2017-12-19/TGEoze
2037;2037;2017-12-19;TGEozea;44.41;157259.42;2017-12-19/TGEozea
2038;2038;2017-12-19;TGEozebio;318.21;5984.64;2017-12-19/TGEozebio
2039;2039;2017-12-21;TGEbg;-;-;2017-12-21/TGEbg
2040;2040;2017-12-21;TGEef;451.47;5016.11;2017-12-21/TGEef
2041;2041;2017-12-21;TGEef17;422.76;1113.14;2017-12-21/TGEef17
2042;2042;2017-12-21;TGEeff;1400.00;7.53;2017-12-21/TGEeff
2043;2043;2017-12-21;TGEkec17;9.78;61200.00;2017-12-21/TGEkec17
2044;2044;2017-12-21;TGEkgm17;117.07;44350.36;2017-12-21/TGEkgm17
2045;2045;2017-12-21;TGEkmet17;55.32;2129.57;2017-12-21/TGEkmet17
2046;2046;2017-12-21;TGEoze;-;-;2017-12-21/TGEoze
2047;2047;2017-12-21;TGEozea;44.21;167752.75;2017-12-21/TGEozea
2048;2048;2017-12-21;TGEozebio;318.02;3437.45;2017-12-21/TGEozebio
2049;2049;2017-12-28;TGEbg;-;-;2017-12-28/TGEbg
2050;2050;2017-12-28;TGEef;455.45;4687.22;2017-12-28/TGEef
2051;2051;2017-12-28;TGEef17;-;-;2017-12-28/TGEef17
2052;2052;2017-12-28;TGEeff;-;-;2017-12-28/TGEeff
2053;2053;2017-12-28;TGEkec17;9.79;48505.04;2017-12-28/TGEkec17
2054;2054;2017-12-28;TGEkgm17;117.09;11466.49;2017-12-28/TGEkgm17
2055;2055;2017-12-28;TGEkmet17;-;-;2017-12-28/TGEkmet17
2056;2056;2017-12-28;TGEoze;-;-;2017-12-28/TGEoze
2057;2057;2017-12-28;TGEozea;45.29;131404.35;2017-12-28/TGEozea
2058;2058;2017-12-28;TGEozebio;318.37;4977.61;2017-12-28/TGEozebio
2059;2059;2018-01-02;TGEbg;-;-;2018-01-02/TGEbg
2060;2060;2018-01-02;TGEef;450.16;4149.69;2018-01-02/TGEef
2061;2061;2018-01-02;TGEef17;440.00;0.60;2018-01-02/TGEef17
2062;2062;2018-01-02;TGEef18;-;-;2018-01-02/TGEef18
2063;2063;2018-01-02;TGEeff;-;-;2018-01-02/TGEeff
2064;2064;2018-01-02;TGEkec17;-;-;2018-01-02/TGEkec17
2065;2065;2018-01-02;TGEkec18;-;-;2018-01-02/TGEkec18
2066;2066;2018-01-02;TGEkgm17;117.09;10560.73;2018-01-02/TGEkgm17
2067;2067;2018-01-02;TGEkgm18;-;-;2018-01-02/TGEkgm18
2068;2068;2018-01-02;TGEkmet17;-;-;2018-01-02/TGEkmet17
2069;2069;2018-01-02;TGEkmet18;-;-;2018-01-02/TGEkmet18
2070;2070;2018-01-02;TGEoze;-;-;2018-01-02/TGEoze
2071;2071;2018-01-02;TGEozea;45.53;33311.71;2018-01-02/TGEozea
2072;2072;2018-01-02;TGEozebio;-;-;2018-01-02/TGEozebio
2073;2073;2018-01-04;TGEbg;-;-;2018-01-04/TGEbg
2074;2074;2018-01-04;TGEef;461.00;2976.30;2018-01-04/TGEef
2075;2075;2018-01-04;TGEef17;401.77;199.40;2018-01-04/TGEef17
2076;2076;2018-01-04;TGEef18;-;-;2018-01-04/TGEef18
2077;2077;2018-01-04;TGEeff;-;-;2018-01-04/TGEeff
2078;2078;2018-01-04;TGEkec17;9.79;17000.00;2018-01-04/TGEkec17
2079;2079;2018-01-04;TGEkec18;-;-;2018-01-04/TGEkec18
2080;2080;2018-01-04;TGEkgm17;117.15;21641.61;2018-01-04/TGEkgm17
2081;2081;2018-01-04;TGEkgm18;-;-;2018-01-04/TGEkgm18
2082;2082;2018-01-04;TGEkmet17;55.35;576.93;2018-01-04/TGEkmet17
2083;2083;2018-01-04;TGEkmet18;-;-;2018-01-04/TGEkmet18
2084;2084;2018-01-04;TGEoze;-;-;2018-01-04/TGEoze
2085;2085;2018-01-04;TGEozea;46.91;63079.49;2018-01-04/TGEozea
2086;2086;2018-01-04;TGEozebio;319.70;1946.38;2018-01-04/TGEozebio
2087;2087;2018-01-09;TGEbg;-;-;2018-01-09/TGEbg
2088;2088;2018-01-09;TGEef;465.80;5564.01;2018-01-09/TGEef
2089;2089;2018-01-09;TGEef17;443.12;500.75;2018-01-09/TGEef17
2090;2090;2018-01-09;TGEef18;-;-;2018-01-09/TGEef18
2091;2091;2018-01-09;TGEeff;-;-;2018-01-09/TGEeff
2092;2092;2018-01-09;TGEkec17;9.80;33520.54;2018-01-09/TGEkec17
2093;2093;2018-01-09;TGEkec18;-;-;2018-01-09/TGEkec18
2094;2094;2018-01-09;TGEkgm17;117.14;22751.36;2018-01-09/TGEkgm17
2095;2095;2018-01-09;TGEkgm18;-;-;2018-01-09/TGEkgm18
2096;2096;2018-01-09;TGEkmet17;55.50;1356.46;2018-01-09/TGEkmet17
2097;2097;2018-01-09;TGEkmet18;-;-;2018-01-09/TGEkmet18
2098;2098;2018-01-09;TGEoze;-;-;2018-01-09/TGEoze
2099;2099;2018-01-09;TGEozea;49.07;89517.84;2018-01-09/TGEozea
2100;2100;2018-01-09;TGEozebio;319.47;2117.56;2018-01-09/TGEozebio
2101;2101;2018-01-11;TGEbg;-;-;2018-01-11/TGEbg
2102;2102;2018-01-11;TGEef;472.11;3424.88;2018-01-11/TGEef
2103;2103;2018-01-11;TGEef17;458.18;550.00;2018-01-11/TGEef17
2104;2104;2018-01-11;TGEef18;-;-;2018-01-11/TGEef18
2105;2105;2018-01-11;TGEeff;-;-;2018-01-11/TGEeff
2106;2106;2018-01-11;TGEkec17;9.80;20200.00;2018-01-11/TGEkec17
2107;2107;2018-01-11;TGEkec18;-;-;2018-01-11/TGEkec18
2108;2108;2018-01-11;TGEkgm17;117.17;25001.70;2018-01-11/TGEkgm17
2109;2109;2018-01-11;TGEkgm18;-;-;2018-01-11/TGEkgm18
2110;2110;2018-01-11;TGEkmet17;55.30;10800.00;2018-01-11/TGEkmet17
2111;2111;2018-01-11;TGEkmet18;-;-;2018-01-11/TGEkmet18
2112;2112;2018-01-11;TGEoze;-;-;2018-01-11/TGEoze
2113;2113;2018-01-11;TGEozea;49.69;76575.98;2018-01-11/TGEozea
2114;2114;2018-01-11;TGEozebio;317.98;4365.83;2018-01-11/TGEozebio
2115;2115;2018-01-16;TGEbg;-;-;2018-01-16/TGEbg
2116;2116;2018-01-16;TGEef;531.93;9192.97;2018-01-16/TGEef
2117;2117;2018-01-16;TGEef17;560.93;593.30;2018-01-16/TGEef17
2118;2118;2018-01-16;TGEef18;-;-;2018-01-16/TGEef18
2119;2119;2018-01-16;TGEeff;1400.00;290.05;2018-01-16/TGEeff
2120;2120;2018-01-16;TGEkec17;9.81;24801.80;2018-01-16/TGEkec17
2121;2121;2018-01-16;TGEkec18;-;-;2018-01-16/TGEkec18
2122;2122;2018-01-16;TGEkgm17;117.23;30236.96;2018-01-16/TGEkgm17
2123;2123;2018-01-16;TGEkgm18;-;-;2018-01-16/TGEkgm18
2124;2124;2018-01-16;TGEkmet17;55.40;188.73;2018-01-16/TGEkmet17
2125;2125;2018-01-16;TGEkmet18;-;-;2018-01-16/TGEkmet18
2126;2126;2018-01-16;TGEoze;-;-;2018-01-16/TGEoze
2127;2127;2018-01-16;TGEozea;49.94;58235.39;2018-01-16/TGEozea
2128;2128;2018-01-16;TGEozebio;317.91;4740.61;2018-01-16/TGEozebio
2129;2129;2018-01-18;TGEbg;-;-;2018-01-18/TGEbg
2130;2130;2018-01-18;TGEef;644.50;3370.48;2018-01-18/TGEef
2131;2131;2018-01-18;TGEef17;700.00;13.53;2018-01-18/TGEef17
2132;2132;2018-01-18;TGEef18;-;-;2018-01-18/TGEef18
2133;2133;2018-01-18;TGEeff;-;-;2018-01-18/TGEeff
2134;2134;2018-01-18;TGEkec17;9.81;58557.52;2018-01-18/TGEkec17
2135;2135;2018-01-18;TGEkec18;-;-;2018-01-18/TGEkec18
2136;2136;2018-01-18;TGEkgm17;117.20;39009.38;2018-01-18/TGEkgm17
2137;2137;2018-01-18;TGEkgm18;-;-;2018-01-18/TGEkgm18
2138;2138;2018-01-18;TGEkmet17;55.31;2664.86;2018-01-18/TGEkmet17
2139;2139;2018-01-18;TGEkmet18;-;-;2018-01-18/TGEkmet18
2140;2140;2018-01-18;TGEoze;-;-;2018-01-18/TGEoze
2141;2141;2018-01-18;TGEozea;49.88;151090.46;2018-01-18/TGEozea
2142;2142;2018-01-18;TGEozebio;317.89;5212.05;2018-01-18/TGEozebio
2143;2143;2018-01-23;TGEbg;-;-;2018-01-23/TGEbg
2144;2144;2018-01-23;TGEef;648.12;5143.55;2018-01-23/TGEef
2145;2145;2018-01-23;TGEef17;655.95;184.72;2018-01-23/TGEef17
2146;2146;2018-01-23;TGEef18;-;-;2018-01-23/TGEef18
2147;2147;2018-01-23;TGEeff;-;-;2018-01-23/TGEeff
2148;2148;2018-01-23;TGEkec17;9.81;11158.47;2018-01-23/TGEkec17
2149;2149;2018-01-23;TGEkec18;-;-;2018-01-23/TGEkec18
2150;2150;2018-01-23;TGEkgm17;117.23;33588.80;2018-01-23/TGEkgm17
2151;2151;2018-01-23;TGEkgm18;-;-;2018-01-23/TGEkgm18
2152;2152;2018-01-23;TGEkmet17;55.31;4962.82;2018-01-23/TGEkmet17
2153;2153;2018-01-23;TGEkmet18;-;-;2018-01-23/TGEkmet18
2154;2154;2018-01-23;TGEoze;-;-;2018-01-23/TGEoze
2155;2155;2018-01-23;TGEozea;47.79;102078.92;2018-01-23/TGEozea
2156;2156;2018-01-23;TGEozebio;317.80;6815.70;2018-01-23/TGEozebio
2157;2157;2018-01-25;TGEbg;-;-;2018-01-25/TGEbg
2158;2158;2018-01-25;TGEef;656.59;5462.43;2018-01-25/TGEef
2159;2159;2018-01-25;TGEef17;654.98;200.99;2018-01-25/TGEef17
2160;2160;2018-01-25;TGEef18;-;-;2018-01-25/TGEef18
2161;2161;2018-01-25;TGEeff;-;-;2018-01-25/TGEeff
2162;2162;2018-01-25;TGEkec17;9.82;29841.54;2018-01-25/TGEkec17
2163;2163;2018-01-25;TGEkec18;-;-;2018-01-25/TGEkec18
2164;2164;2018-01-25;TGEkgm17;117.32;29253.38;2018-01-25/TGEkgm17
2165;2165;2018-01-25;TGEkgm18;-;-;2018-01-25/TGEkgm18
2166;2166;2018-01-25;TGEkmet17;55.30;1953.06;2018-01-25/TGEkmet17
2167;2167;2018-01-25;TGEkmet18;-;-;2018-01-25/TGEkmet18
2168;2168;2018-01-25;TGEoze;-;-;2018-01-25/TGEoze
2169;2169;2018-01-25;TGEozea;49.12;73374.90;2018-01-25/TGEozea
2170;2170;2018-01-25;TGEozebio;318.76;4135.87;2018-01-25/TGEozebio
2171;2171;2018-01-30;TGEbg;-;-;2018-01-30/TGEbg
2172;2172;2018-01-30;TGEef;696.72;3538.00;2018-01-30/TGEef
2173;2173;2018-01-30;TGEef17;699.93;295.00;2018-01-30/TGEef17
2174;2174;2018-01-30;TGEef18;-;-;2018-01-30/TGEef18
2175;2175;2018-01-30;TGEeff;-;-;2018-01-30/TGEeff
2176;2176;2018-01-30;TGEkec17;9.82;34289.31;2018-01-30/TGEkec17
2177;2177;2018-01-30;TGEkec18;-;-;2018-01-30/TGEkec18
2178;2178;2018-01-30;TGEkgm17;117.38;33107.17;2018-01-30/TGEkgm17
2179;2179;2018-01-30;TGEkgm18;-;-;2018-01-30/TGEkgm18
2180;2180;2018-01-30;TGEkmet17;55.32;1000.00;2018-01-30/TGEkmet17
2181;2181;2018-01-30;TGEkmet18;-;-;2018-01-30/TGEkmet18
2182;2182;2018-01-30;TGEoze;-;-;2018-01-30/TGEoze
2183;2183;2018-01-30;TGEozea;50.28;117995.88;2018-01-30/TGEozea
2184;2184;2018-01-30;TGEozebio;319.03;3527.08;2018-01-30/TGEozebio
2185;2185;2018-02-01;TGEbg;-;-;2018-02-01/TGEbg
2186;2186;2018-02-01;TGEef;747.88;4250.73;2018-02-01/TGEef
2187;2187;2018-02-01;TGEef17;740.00;282.00;2018-02-01/TGEef17
2188;2188;2018-02-01;TGEef18;-;-;2018-02-01/TGEef18
2189;2189;2018-02-01;TGEeff;-;-;2018-02-01/TGEeff
2190;2190;2018-02-01;TGEkec17;9.82;30000.00;2018-02-01/TGEkec17
2191;2191;2018-02-01;TGEkec18;-;-;2018-02-01/TGEkec18
2192;2192;2018-02-01;TGEkgm17;117.44;39025.31;2018-02-01/TGEkgm17
2193;2193;2018-02-01;TGEkgm18;-;-;2018-02-01/TGEkgm18
2194;2194;2018-02-01;TGEkmet17;55.40;439.24;2018-02-01/TGEkmet17
2195;2195;2018-02-01;TGEkmet18;-;-;2018-02-01/TGEkmet18
2196;2196;2018-02-01;TGEoze;-;-;2018-02-01/TGEoze
2197;2197;2018-02-01;TGEozea;52.34;68637.46;2018-02-01/TGEozea
2198;2198;2018-02-01;TGEozebio;318.43;5332.08;2018-02-01/TGEozebio
2199;2199;2018-02-06;TGEbg;-;-;2018-02-06/TGEbg
2200;2200;2018-02-06;TGEef;777.50;8181.51;2018-02-06/TGEef
2201;2201;2018-02-06;TGEef17;775.23;654.44;2018-02-06/TGEef17
2202;2202;2018-02-06;TGEef18;-;-;2018-02-06/TGEef18
2203;2203;2018-02-06;TGEeff;-;-;2018-02-06/TGEeff
2204;2204;2018-02-06;TGEkec17;9.83;20198.70;2018-02-06/TGEkec17
2205;2205;2018-02-06;TGEkec18;-;-;2018-02-06/TGEkec18
2206;2206;2018-02-06;TGEkgm17;117.49;41355.50;2018-02-06/TGEkgm17
2207;2207;2018-02-06;TGEkgm18;-;-;2018-02-06/TGEkgm18
2208;2208;2018-02-06;TGEkmet17;55.35;2352.85;2018-02-06/TGEkmet17
2209;2209;2018-02-06;TGEkmet18;-;-;2018-02-06/TGEkmet18
2210;2210;2018-02-06;TGEoze;-;-;2018-02-06/TGEoze
2211;2211;2018-02-06;TGEozea;53.76;58342.15;2018-02-06/TGEozea
2212;2212;2018-02-06;TGEozebio;317.92;4083.11;2018-02-06/TGEozebio
2213;2213;2018-02-08;TGEbg;-;-;2018-02-08/TGEbg
2214;2214;2018-02-08;TGEef;846.75;7276.69;2018-02-08/TGEef
2215;2215;2018-02-08;TGEef17;849.82;556.67;2018-02-08/TGEef17
2216;2216;2018-02-08;TGEef18;-;-;2018-02-08/TGEef18
2217;2217;2018-02-08;TGEeff;-;-;2018-02-08/TGEeff
2218;2218;2018-02-08;TGEkec17;9.83;49500.00;2018-02-08/TGEkec17
2219;2219;2018-02-08;TGEkec18;-;-;2018-02-08/TGEkec18
2220;2220;2018-02-08;TGEkgm17;117.50;40473.43;2018-02-08/TGEkgm17
2221;2221;2018-02-08;TGEkgm18;-;-;2018-02-08/TGEkgm18
2222;2222;2018-02-08;TGEkmet17;55.35;3746.60;2018-02-08/TGEkmet17
2223;2223;2018-02-08;TGEkmet18;-;-;2018-02-08/TGEkmet18
2224;2224;2018-02-08;TGEoze;-;-;2018-02-08/TGEoze
2225;2225;2018-02-08;TGEozea;54.99;91360.08;2018-02-08/TGEozea
2226;2226;2018-02-08;TGEozebio;317.63;3819.71;2018-02-08/TGEozebio
2227;2227;2018-02-13;TGEbg;-;-;2018-02-13/TGEbg
2228;2228;2018-02-13;TGEef;899.67;9767.56;2018-02-13/TGEef
2229;2229;2018-02-13;TGEef17;900.00;16.48;2018-02-13/TGEef17
2230;2230;2018-02-13;TGEef18;-;-;2018-02-13/TGEef18
2231;2231;2018-02-13;TGEeff;-;-;2018-02-13/TGEeff
2232;2232;2018-02-13;TGEkec17;9.83;31000.00;2018-02-13/TGEkec17
2233;2233;2018-02-13;TGEkec18;-;-;2018-02-13/TGEkec18
2234;2234;2018-02-13;TGEkgm17;117.58;38839.83;2018-02-13/TGEkgm17
2235;2235;2018-02-13;TGEkgm18;-;-;2018-02-13/TGEkgm18
2236;2236;2018-02-13;TGEkmet17;55.35;4000.00;2018-02-13/TGEkmet17
2237;2237;2018-02-13;TGEkmet18;-;-;2018-02-13/TGEkmet18
2238;2238;2018-02-13;TGEoze;-;-;2018-02-13/TGEoze
2239;2239;2018-02-13;TGEozea;55.19;103334.46;2018-02-13/TGEozea
2240;2240;2018-02-13;TGEozebio;317.56;3562.39;2018-02-13/TGEozebio
2241;2241;2018-02-15;TGEbg;-;-;2018-02-15/TGEbg
2242;2242;2018-02-15;TGEef;890.80;10268.41;2018-02-15/TGEef
2243;2243;2018-02-15;TGEef17;-;-;2018-02-15/TGEef17
2244;2244;2018-02-15;TGEef18;-;-;2018-02-15/TGEef18
2245;2245;2018-02-15;TGEeff;-;-;2018-02-15/TGEeff
2246;2246;2018-02-15;TGEkec17;9.83;32938.01;2018-02-15/TGEkec17
2247;2247;2018-02-15;TGEkec18;-;-;2018-02-15/TGEkec18
2248;2248;2018-02-15;TGEkgm17;117.69;30815.87;2018-02-15/TGEkgm17
2249;2249;2018-02-15;TGEkgm18;-;-;2018-02-15/TGEkgm18
2250;2250;2018-02-15;TGEkmet17;55.40;6500.00;2018-02-15/TGEkmet17
2251;2251;2018-02-15;TGEkmet18;-;-;2018-02-15/TGEkmet18
2252;2252;2018-02-15;TGEoze;-;-;2018-02-15/TGEoze
2253;2253;2018-02-15;TGEozea;58.47;92631.04;2018-02-15/TGEozea
2254;2254;2018-02-15;TGEozebio;317.50;7210.40;2018-02-15/TGEozebio
2255;2255;2018-02-20;TGEbg;-;-;2018-02-20/TGEbg
2256;2256;2018-02-20;TGEef;858.71;7218.08;2018-02-20/TGEef
2257;2257;2018-02-20;TGEef17;780.00;300.00;2018-02-20/TGEef17
2258;2258;2018-02-20;TGEef18;-;-;2018-02-20/TGEef18
2259;2259;2018-02-20;TGEeff;-;-;2018-02-20/TGEeff
2260;2260;2018-02-20;TGEkec17;9.84;31673.13;2018-02-20/TGEkec17
2261;2261;2018-02-20;TGEkec18;-;-;2018-02-20/TGEkec18
2262;2262;2018-02-20;TGEkgm17;117.69;27397.15;2018-02-20/TGEkgm17
2263;2263;2018-02-20;TGEkgm18;-;-;2018-02-20/TGEkgm18
2264;2264;2018-02-20;TGEkmet17;55.45;5067.43;2018-02-20/TGEkmet17
2265;2265;2018-02-20;TGEkmet18;-;-;2018-02-20/TGEkmet18
2266;2266;2018-02-20;TGEoze;-;-;2018-02-20/TGEoze
2267;2267;2018-02-20;TGEozea;63.67;131126.45;2018-02-20/TGEozea
2268;2268;2018-02-20;TGEozebio;319.02;1484.35;2018-02-20/TGEozebio
2269;2269;2018-02-22;TGEbg;-;-;2018-02-22/TGEbg
2270;2270;2018-02-22;TGEef;817.94;7231.73;2018-02-22/TGEef
2271;2271;2018-02-22;TGEef17;-;-;2018-02-22/TGEef17
2272;2272;2018-02-22;TGEef18;-;-;2018-02-22/TGEef18
2273;2273;2018-02-22;TGEeff;-;-;2018-02-22/TGEeff
2274;2274;2018-02-22;TGEkec17;9.84;37710.44;2018-02-22/TGEkec17
2275;2275;2018-02-22;TGEkec18;-;-;2018-02-22/TGEkec18
2276;2276;2018-02-22;TGEkgm17;117.71;30577.11;2018-02-22/TGEkgm17
2277;2277;2018-02-22;TGEkgm18;-;-;2018-02-22/TGEkgm18
2278;2278;2018-02-22;TGEkmet17;55.43;3168.81;2018-02-22/TGEkmet17
2279;2279;2018-02-22;TGEkmet18;-;-;2018-02-22/TGEkmet18
2280;2280;2018-02-22;TGEoze;-;-;2018-02-22/TGEoze
2281;2281;2018-02-22;TGEozea;69.93;153999.36;2018-02-22/TGEozea
2282;2282;2018-02-22;TGEozebio;318.14;5943.43;2018-02-22/TGEozebio
2283;2283;2018-02-27;TGEbg;-;-;2018-02-27/TGEbg
2284;2284;2018-02-27;TGEef;710.01;4685.77;2018-02-27/TGEef
2285;2285;2018-02-27;TGEef17;-;-;2018-02-27/TGEef17
2286;2286;2018-02-27;TGEef18;-;-;2018-02-27/TGEef18
2287;2287;2018-02-27;TGEeff;-;-;2018-02-27/TGEeff
2288;2288;2018-02-27;TGEkec17;9.85;35000.00;2018-02-27/TGEkec17
2289;2289;2018-02-27;TGEkec18;-;-;2018-02-27/TGEkec18
2290;2290;2018-02-27;TGEkgm17;117.94;42307.57;2018-02-27/TGEkgm17
2291;2291;2018-02-27;TGEkgm18;-;-;2018-02-27/TGEkgm18
2292;2292;2018-02-27;TGEkmet17;55.45;5280.04;2018-02-27/TGEkmet17
2293;2293;2018-02-27;TGEkmet18;-;-;2018-02-27/TGEkmet18
2294;2294;2018-02-27;TGEoze;-;-;2018-02-27/TGEoze
2295;2295;2018-02-27;TGEozea;69.15;187595.87;2018-02-27/TGEozea
2296;2296;2018-02-27;TGEozebio;317.64;2660.98;2018-02-27/TGEozebio
2297;2297;2018-03-01;TGEbg;-;-;2018-03-01/TGEbg
2298;2298;2018-03-01;TGEef;699.29;2262.23;2018-03-01/TGEef
2299;2299;2018-03-01;TGEef17;-;-;2018-03-01/TGEef17
2300;2300;2018-03-01;TGEef18;-;-;2018-03-01/TGEef18
2301;2301;2018-03-01;TGEeff;1400.00;28.90;2018-03-01/TGEeff
2302;2302;2018-03-01;TGEkec17;9.85;70000.00;2018-03-01/TGEkec17
