;Unnamed: 0;data dostawy;indeks;kurs (PLN/MWh lub PLN/toe);wolumen (MWh lub toe);ukey
71;71;2016-01-28;TGEef;980.18;5541.69;2016-01-28/TGEef
72;72;2016-01-28;TGEkec15;10.79;19697.08;2016-01-28/TGEkec15
73;73;2016-01-28;TGEkec16;-;-;2016-01-28/TGEkec16
74;74;2016-01-28;TGEkgm15;118.70;12570.62;2016-01-28/TGEkgm15
75;75;2016-01-28;TGEkgm16;-;-;2016-01-28/TGEkgm16
76;76;2016-01-28;TGEkmet15;62.26;2168.65;2016-01-28/TGEkmet15
77;77;2016-01-28;TGEkmet16;-;-;2016-01-28/TGEkmet16
78;78;2016-01-28;TGEoze;-;-;2016-01-28/TGEoze
79;79;2016-01-28;TGEozea;112.73;41200.08;2016-01-28/TGEozea
80;80;2016-02-02;TGEbg;-;-;2016-02-02/TGEbg
81;81;2016-02-02;TGEef;981.14;2705.95;2016-02-02/TGEef
82;82;2016-02-02;TGEkec15;10.80;59457.87;2016-02-02/TGEkec15
83;83;2016-02-02;TGEkec16;-;-;2016-02-02/TGEkec16
84;84;2016-02-02;TGEkgm15;118.69;12739.72;2016-02-02/TGEkgm15
85;85;2016-02-02;TGEkgm16;-;-;2016-02-02/TGEkgm16
86;86;2016-02-02;TGEkmet15;62.30;532.00;2016-02-02/TGEkmet15
87;87;2016-02-02;TGEkmet16;-;-;2016-02-02/TGEkmet16
88;88;2016-02-02;TGEoze;97.03;170.00;2016-02-02/TGEoze
89;89;2016-02-02;TGEozea;116.77;68968.43;2016-02-02/TGEozea
90;90;2016-02-04;TGEbg;-;-;2016-02-04/TGEbg
91;91;2016-02-04;TGEef;982.01;2482.00;2016-02-04/TGEef
92;92;2016-02-04;TGEkec15;10.82;28000.00;2016-02-04/TGEkec15
93;93;2016-02-04;TGEkec16;-;-;2016-02-04/TGEkec16
94;94;2016-02-04;TGEkgm15;118.82;11379.96;2016-02-04/TGEkgm15
95;95;2016-02-04;TGEkgm16;-;-;2016-02-04/TGEkgm16
96;96;2016-02-04;TGEkmet15;62.25;4680.66;2016-02-04/TGEkmet15
