;Unnamed: 0;data dostawy;indeks;kurs (PLN/MWh);wolumen (MWh);ukey
64;64;2016-03-04;TGEgasDA;61.65;59040.00;2016-03-04/TGEgasDA
65;65;2016-03-04;TGEsgtDA;-;-;2016-03-04/TGEsgtDA
66;66;2016-03-05;TGEgasDA;60.85;7608.00;2016-03-05/TGEgasDA
67;67;2016-03-05;TGEsgtDA;-;-;2016-03-05/TGEsgtDA
68;68;2016-03-06;TGEgasDA;61.75;4824.00;2016-03-06/TGEgasDA
69;69;2016-03-06;TGEsgtDA;-;-;2016-03-06/TGEsgtDA
70;70;2016-03-07;TGEgasDA;63.11;37008.00;2016-03-07/TGEgasDA
71;71;2016-03-07;TGEsgtDA;-;-;2016-03-07/TGEsgtDA
72;72;2016-03-08;TGEgasDA;60.74;69672.00;2016-03-08/TGEgasDA
73;73;2016-03-08;TGEsgtDA;-;-;2016-03-08/TGEsgtDA
74;74;2016-03-09;TGEgasDA;60.87;56232.00;2016-03-09/TGEgasDA
75;75;2016-03-09;TGEsgtDA;-;-;2016-03-09/TGEsgtDA
76;76;2016-03-10;TGEgasDA;60.55;52944.00;2016-03-10/TGEgasDA
77;77;2016-03-10;TGEsgtDA;-;-;2016-03-10/TGEsgtDA
78;78;2016-03-11;TGEgasDA;60.31;41040.00;2016-03-11/TGEgasDA
79;79;2016-03-11;TGEsgtDA;-;-;2016-03-11/TGEsgtDA
80;80;2016-03-12;TGEgasDA;59.47;5088.00;2016-03-12/TGEgasDA
81;81;2016-03-12;TGEsgtDA;-;-;2016-03-12/TGEsgtDA
82;82;2016-03-13;TGEgasDA;61.29;16512.00;2016-03-13/TGEgasDA
83;83;2016-03-13;TGEsgtDA;-;-;2016-03-13/TGEsgtDA
84;84;2016-03-14;TGEgasDA;62.25;55536.00;2016-03-14/TGEgasDA
85;85;2016-03-14;TGEsgtDA;-;-;2016-03-14/TGEsgtDA
86;86;2016-03-15;TGEgasDA;61.91;64704.00;2016-03-15/TGEgasDA
87;87;2016-03-15;TGEsgtDA;-;-;2016-03-15/TGEsgtDA
88;88;2016-03-16;TGEgasDA;60.57;73872.00;2016-03-16/TGEgasDA
89;89;2016-03-16;TGEsgtDA;-;-;2016-03-16/TGEsgtDA
90;90;2016-03-17;TGEgasDA;61.30;75288.00;2016-03-17/TGEgasDA
91;91;2016-03-17;TGEsgtDA;-;-;2016-03-17/TGEsgtDA
92;92;2016-03-18;TGEgasDA;60.46;52632.00;2016-03-18/TGEgasDA
93;93;2016-03-18;TGEsgtDA;-;-;2016-03-18/TGEsgtDA
94;94;2016-03-19;TGEgasDA;59.89;9864.00;2016-03-19/TGEgasDA
95;95;2016-03-19;TGEsgtDA;-;-;2016-03-19/TGEsgtDA
96;96;2016-03-20;TGEgasDA;59.91;5424.00;2016-03-20/TGEgasDA
97;97;2016-03-20;TGEsgtDA;-;-;2016-03-20/TGEsgtDA
98;98;2016-03-21;TGEgasDA;60.99;56712.00;2016-03-21/TGEgasDA
99;99;2016-03-21;TGEsgtDA;-;-;2016-03-21/TGEsgtDA
100;100;2016-03-22;TGEgasDA;59.41;78672.00;2016-03-22/TGEgasDA
101;101;2016-03-22;TGEsgtDA;-;-;2016-03-22/TGEsgtDA
102;102;2016-03-23;TGEgasDA;58.34;73992.00;2016-03-23/TGEgasDA
103;103;2016-03-23;TGEsgtDA;-;-;2016-03-23/TGEsgtDA
104;104;2016-03-24;TGEgasDA;58.01;74952.00;2016-03-24/TGEgasDA
105;105;2016-03-24;TGEsgtDA;-;-;2016-03-24/TGEsgtDA
106;106;2016-03-25;TGEgasDA;58.21;53832.00;2016-03-25/TGEgasDA
107;107;2016-03-25;TGEsgtDA;-;-;2016-03-25/TGEsgtDA
108;108;2016-03-26;TGEgasDA;57.33;9775.00;2016-03-26/TGEgasDA
109;109;2016-03-26;TGEsgtDA;-;-;2016-03-26/TGEsgtDA
110;110;2016-03-27;TGEgasDA;52.46;18528.00;2016-03-27/TGEgasDA
111;111;2016-03-27;TGEsgtDA;-;-;2016-03-27/TGEsgtDA
112;112;2016-03-28;TGEgasDA;52.82;47640.00;2016-03-28/TGEgasDA
113;113;2016-03-28;TGEsgtDA;-;-;2016-03-28/TGEsgtDA
114;114;2016-03-29;TGEgasDA;56.57;41952.00;2016-03-29/TGEgasDA
115;115;2016-03-29;TGEsgtDA;-;-;2016-03-29/TGEsgtDA
116;116;2016-03-30;TGEgasDA;57.09;43032.00;2016-03-30/TGEgasDA
117;117;2016-03-30;TGEsgtDA;-;-;2016-03-30/TGEsgtDA
118;118;2016-03-31;TGEgasDA;56.34;29712.00;2016-03-31/TGEgasDA
119;119;2016-03-31;TGEsgtDA;-;-;2016-03-31/TGEsgtDA
120;120;2016-04-01;TGEgasDA;58.16;119616.00;2016-04-01/TGEgasDA
121;121;2016-04-01;TGEsgtDA;-;-;2016-04-01/TGEsgtDA
122;122;2016-04-02;TGEgasDA;57.76;43896.00;2016-04-02/TGEgasDA
123;123;2016-04-02;TGEsgtDA;-;-;2016-04-02/TGEsgtDA
124;124;2016-04-03;TGEgasDA;57.39;37560.00;2016-04-03/TGEgasDA
125;125;2016-04-03;TGEsgtDA;-;-;2016-04-03/TGEsgtDA
