;Unnamed: 0;data dostawy;indeks;kurs (PLN/MWh);wolumen (MWh);ukey
1014;1014;2017-06-22;TGEgasDA;74.34;45624.00;2017-06-22/TGEgasDA
1015;1015;2017-06-22;TGEsgtDA;-;-;2017-06-22/TGEsgtDA
1016;1016;2017-06-23;TGEgasDA;68.06;21336.00;2017-06-23/TGEgasDA
1017;1017;2017-06-23;TGEsgtDA;-;-;2017-06-23/TGEsgtDA
1018;1018;2017-06-24;TGEgasDA;65.94;912.00;2017-06-24/TGEgasDA
1019;1019;2017-06-24;TGEsgtDA;-;-;2017-06-24/TGEsgtDA
1020;1020;2017-06-25;TGEgasDA;60.94;2448.00;2017-06-25/TGEgasDA
1021;1021;2017-06-25;TGEsgtDA;-;-;2017-06-25/TGEsgtDA
1022;1022;2017-06-26;TGEgasDA;67.37;18312.00;2017-06-26/TGEgasDA
1023;1023;2017-06-26;TGEsgtDA;-;-;2017-06-26/TGEsgtDA
1024;1024;2017-06-27;TGEgasDA;68.45;19752.00;2017-06-27/TGEgasDA
1025;1025;2017-06-27;TGEsgtDA;-;-;2017-06-27/TGEsgtDA
1026;1026;2017-06-28;TGEgasDA;68.98;18696.00;2017-06-28/TGEgasDA
1027;1027;2017-06-28;TGEsgtDA;-;-;2017-06-28/TGEsgtDA
1028;1028;2017-06-29;TGEgasDA;69.92;19584.00;2017-06-29/TGEgasDA
1029;1029;2017-06-29;TGEsgtDA;-;-;2017-06-29/TGEsgtDA
1030;1030;2017-06-30;TGEgasDA;70.37;16704.00;2017-06-30/TGEgasDA
1031;1031;2017-06-30;TGEsgtDA;-;-;2017-06-30/TGEsgtDA
1032;1032;2017-07-01;TGEgasDA;69.35;5592.00;2017-07-01/TGEgasDA
1033;1033;2017-07-01;TGEsgtDA;-;-;2017-07-01/TGEsgtDA
1034;1034;2017-07-02;TGEgasDA;69.48;5160.00;2017-07-02/TGEgasDA
1035;1035;2017-07-02;TGEsgtDA;-;-;2017-07-02/TGEsgtDA
1036;1036;2017-07-03;TGEgasDA;69.92;28512.00;2017-07-03/TGEgasDA
1037;1037;2017-07-03;TGEsgtDA;-;-;2017-07-03/TGEsgtDA
1038;1038;2017-07-04;TGEgasDA;70.53;32592.00;2017-07-04/TGEgasDA
1039;1039;2017-07-04;TGEsgtDA;-;-;2017-07-04/TGEsgtDA
1040;1040;2017-07-05;TGEgasDA;71.03;33576.00;2017-07-05/TGEgasDA
1041;1041;2017-07-05;TGEsgtDA;-;-;2017-07-05/TGEsgtDA
1042;1042;2017-07-06;TGEgasDA;70.81;35664.00;2017-07-06/TGEgasDA
1043;1043;2017-07-06;TGEsgtDA;-;-;2017-07-06/TGEsgtDA
1044;1044;2017-07-07;TGEgasDA;70.49;29016.00;2017-07-07/TGEgasDA
1045;1045;2017-07-07;TGEsgtDA;-;-;2017-07-07/TGEsgtDA
1046;1046;2017-07-08;TGEgasDA;69.93;9888.00;2017-07-08/TGEgasDA
1047;1047;2017-07-08;TGEsgtDA;-;-;2017-07-08/TGEsgtDA
1048;1048;2017-07-09;TGEgasDA;66.90;1776.00;2017-07-09/TGEgasDA
1049;1049;2017-07-09;TGEsgtDA;-;-;2017-07-09/TGEsgtDA
1050;1050;2017-07-10;TGEgasDA;70.47;29112.00;2017-07-10/TGEgasDA
1051;1051;2017-07-10;TGEsgtDA;-;-;2017-07-10/TGEsgtDA
1052;1052;2017-07-11;TGEgasDA;69.04;27792.00;2017-07-11/TGEgasDA
1053;1053;2017-07-11;TGEsgtDA;-;-;2017-07-11/TGEsgtDA
1054;1054;2017-07-12;TGEgasDA;68.98;30336.00;2017-07-12/TGEgasDA
1055;1055;2017-07-12;TGEsgtDA;-;-;2017-07-12/TGEsgtDA
1056;1056;2017-07-13;TGEgasDA;69.01;33840.00;2017-07-13/TGEgasDA
1057;1057;2017-07-13;TGEsgtDA;-;-;2017-07-13/TGEsgtDA
1058;1058;2017-07-14;TGEgasDA;68.83;33168.00;2017-07-14/TGEgasDA
1059;1059;2017-07-14;TGEsgtDA;-;-;2017-07-14/TGEsgtDA
1060;1060;2017-07-15;TGEgasDA;68.28;2976.00;2017-07-15/TGEgasDA
1061;1061;2017-07-15;TGEsgtDA;-;-;2017-07-15/TGEsgtDA
1062;1062;2017-07-16;TGEgasDA;64.94;1584.00;2017-07-16/TGEgasDA
1063;1063;2017-07-16;TGEsgtDA;-;-;2017-07-16/TGEsgtDA
1064;1064;2017-07-17;TGEgasDA;68.74;27192.00;2017-07-17/TGEgasDA
1065;1065;2017-07-17;TGEsgtDA;-;-;2017-07-17/TGEsgtDA
1066;1066;2017-07-18;TGEgasDA;69.14;31872.00;2017-07-18/TGEgasDA
1067;1067;2017-07-18;TGEsgtDA;-;-;2017-07-18/TGEsgtDA
1068;1068;2017-07-19;TGEgasDA;69.30;30072.00;2017-07-19/TGEgasDA
1069;1069;2017-07-19;TGEsgtDA;-;-;2017-07-19/TGEsgtDA
1070;1070;2017-07-20;TGEgasDA;68.83;31296.00;2017-07-20/TGEgasDA
1071;1071;2017-07-20;TGEsgtDA;-;-;2017-07-20/TGEsgtDA
1072;1072;2017-07-21;TGEgasDA;69.79;23136.00;2017-07-21/TGEgasDA
1073;1073;2017-07-21;TGEsgtDA;-;-;2017-07-21/TGEsgtDA
1074;1074;2017-07-22;TGEgasDA;69.48;936.00;2017-07-22/TGEgasDA
1075;1075;2017-07-22;TGEsgtDA;-;-;2017-07-22/TGEsgtDA
1076;1076;2017-07-23;TGEgasDA;66.99;1632.00;2017-07-23/TGEgasDA
1077;1077;2017-07-23;TGEsgtDA;-;-;2017-07-23/TGEsgtDA
1078;1078;2017-07-24;TGEgasDA;69.45;14832.00;2017-07-24/TGEgasDA
1079;1079;2017-07-24;TGEsgtDA;-;-;2017-07-24/TGEsgtDA
1080;1080;2017-07-25;TGEgasDA;69.77;26784.00;2017-07-25/TGEgasDA
1081;1081;2017-07-25;TGEsgtDA;-;-;2017-07-25/TGEsgtDA
1082;1082;2017-07-26;TGEgasDA;69.05;32136.00;2017-07-26/TGEgasDA
1083;1083;2017-07-26;TGEsgtDA;-;-;2017-07-26/TGEsgtDA
1084;1084;2017-07-27;TGEgasDA;70.12;28224.00;2017-07-27/TGEgasDA
1085;1085;2017-07-27;TGEsgtDA;-;-;2017-07-27/TGEsgtDA
1086;1086;2017-07-28;TGEgasDA;70.27;26088.00;2017-07-28/TGEgasDA
1087;1087;2017-07-28;TGEsgtDA;-;-;2017-07-28/TGEsgtDA
1088;1088;2017-07-29;TGEgasDA;69.26;4896.00;2017-07-29/TGEgasDA
1089;1089;2017-07-29;TGEsgtDA;-;-;2017-07-29/TGEsgtDA
1090;1090;2017-07-30;TGEgasDA;62.30;9936.00;2017-07-30/TGEgasDA
1091;1091;2017-07-30;TGEsgtDA;-;-;2017-07-30/TGEsgtDA
1092;1092;2017-07-31;TGEgasDA;69.01;17616.00;2017-07-31/TGEgasDA
1093;1093;2017-07-31;TGEsgtDA;-;-;2017-07-31/TGEsgtDA
1094;1094;2017-08-01;TGEgasDA;69.26;15408.00;2017-08-01/TGEgasDA
1095;1095;2017-08-01;TGEsgtDA;-;-;2017-08-01/TGEsgtDA
1096;1096;2017-08-02;TGEgasDA;68.17;15336.00;2017-08-02/TGEgasDA
1097;1097;2017-08-02;TGEsgtDA;-;-;2017-08-02/TGEsgtDA
1098;1098;2017-08-03;TGEgasDA;68.20;13344.00;2017-08-03/TGEgasDA
1099;1099;2017-08-03;TGEsgtDA;-;-;2017-08-03/TGEsgtDA
1100;1100;2017-08-04;TGEgasDA;68.56;12936.00;2017-08-04/TGEgasDA
1101;1101;2017-08-04;TGEsgtDA;-;-;2017-08-04/TGEsgtDA
1102;1102;2017-08-05;TGEgasDA;65.85;9264.00;2017-08-05/TGEgasDA
1103;1103;2017-08-05;TGEsgtDA;-;-;2017-08-05/TGEsgtDA
1104;1104;2017-08-06;TGEgasDA;64.12;9456.00;2017-08-06/TGEgasDA
1105;1105;2017-08-06;TGEsgtDA;-;-;2017-08-06/TGEsgtDA
1106;1106;2017-08-07;TGEgasDA;69.66;13920.00;2017-08-07/TGEgasDA
1107;1107;2017-08-07;TGEsgtDA;-;-;2017-08-07/TGEsgtDA
1108;1108;2017-08-08;TGEgasDA;70.43;16128.00;2017-08-08/TGEgasDA
1109;1109;2017-08-08;TGEsgtDA;-;-;2017-08-08/TGEsgtDA
1110;1110;2017-08-09;TGEgasDA;71.43;19656.00;2017-08-09/TGEgasDA
1111;1111;2017-08-09;TGEsgtDA;-;-;2017-08-09/TGEsgtDA
1112;1112;2017-08-10;TGEgasDA;72.02;18600.00;2017-08-10/TGEgasDA
1113;1113;2017-08-10;TGEsgtDA;-;-;2017-08-10/TGEsgtDA
1114;1114;2017-08-11;TGEgasDA;73.70;14424.00;2017-08-11/TGEgasDA
1115;1115;2017-08-11;TGEsgtDA;-;-;2017-08-11/TGEsgtDA
1116;1116;2017-08-12;TGEgasDA;72.23;3744.00;2017-08-12/TGEgasDA
1117;1117;2017-08-12;TGEsgtDA;-;-;2017-08-12/TGEsgtDA
1118;1118;2017-08-13;TGEgasDA;70.90;5760.00;2017-08-13/TGEgasDA
1119;1119;2017-08-13;TGEsgtDA;-;-;2017-08-13/TGEsgtDA
1120;1120;2017-08-14;TGEgasDA;72.28;16056.00;2017-08-14/TGEgasDA
1121;1121;2017-08-14;TGEsgtDA;-;-;2017-08-14/TGEsgtDA
1122;1122;2017-08-15;TGEgasDA;70.17;19536.00;2017-08-15/TGEgasDA
1123;1123;2017-08-15;TGEsgtDA;-;-;2017-08-15/TGEsgtDA
1124;1124;2017-08-16;TGEgasDA;72.46;16248.00;2017-08-16/TGEgasDA
1125;1125;2017-08-16;TGEsgtDA;-;-;2017-08-16/TGEsgtDA
1126;1126;2017-08-17;TGEgasDA;73.03;17016.00;2017-08-17/TGEgasDA
1127;1127;2017-08-17;TGEsgtDA;-;-;2017-08-17/TGEsgtDA
1128;1128;2017-08-18;TGEgasDA;74.24;19224.00;2017-08-18/TGEgasDA
1129;1129;2017-08-18;TGEsgtDA;-;-;2017-08-18/TGEsgtDA
1130;1130;2017-08-19;TGEgasDA;73.99;3768.00;2017-08-19/TGEgasDA
1131;1131;2017-08-19;TGEsgtDA;-;-;2017-08-19/TGEsgtDA
1132;1132;2017-08-20;TGEgasDA;73.46;3552.00;2017-08-20/TGEgasDA
1133;1133;2017-08-20;TGEsgtDA;-;-;2017-08-20/TGEsgtDA
1134;1134;2017-08-21;TGEgasDA;73.99;18960.00;2017-08-21/TGEgasDA
1135;1135;2017-08-21;TGEsgtDA;-;-;2017-08-21/TGEsgtDA
1136;1136;2017-08-22;TGEgasDA;74.98;25680.00;2017-08-22/TGEgasDA
1137;1137;2017-08-22;TGEsgtDA;-;-;2017-08-22/TGEsgtDA
1138;1138;2017-08-23;TGEgasDA;74.14;32136.00;2017-08-23/TGEgasDA
1139;1139;2017-08-23;TGEsgtDA;-;-;2017-08-23/TGEsgtDA
1140;1140;2017-08-24;TGEgasDA;75.05;40752.00;2017-08-24/TGEgasDA
1141;1141;2017-08-24;TGEsgtDA;-;-;2017-08-24/TGEsgtDA
1142;1142;2017-08-25;TGEgasDA;75.44;36504.00;2017-08-25/TGEgasDA
1143;1143;2017-08-25;TGEsgtDA;-;-;2017-08-25/TGEsgtDA
1144;1144;2017-08-26;TGEgasDA;74.10;8688.00;2017-08-26/TGEgasDA
1145;1145;2017-08-26;TGEsgtDA;-;-;2017-08-26/TGEsgtDA
1146;1146;2017-08-27;TGEgasDA;71.81;3984.00;2017-08-27/TGEgasDA
1147;1147;2017-08-27;TGEsgtDA;-;-;2017-08-27/TGEsgtDA
1148;1148;2017-08-28;TGEgasDA;76.16;29136.00;2017-08-28/TGEgasDA
1149;1149;2017-08-28;TGEsgtDA;-;-;2017-08-28/TGEsgtDA
1150;1150;2017-08-29;TGEgasDA;74.65;29784.00;2017-08-29/TGEgasDA
1151;1151;2017-08-29;TGEsgtDA;-;-;2017-08-29/TGEsgtDA
1152;1152;2017-08-30;TGEgasDA;74.86;32424.00;2017-08-30/TGEgasDA
1153;1153;2017-08-30;TGEsgtDA;-;-;2017-08-30/TGEsgtDA
1154;1154;2017-08-31;TGEgasDA;75.66;28080.00;2017-08-31/TGEgasDA
1155;1155;2017-08-31;TGEsgtDA;-;-;2017-08-31/TGEsgtDA
1156;1156;2017-09-01;TGEgasDA;75.13;11616.00;2017-09-01/TGEgasDA
1157;1157;2017-09-01;TGEsgtDA;-;-;2017-09-01/TGEsgtDA
1158;1158;2017-09-02;TGEgasDA;74.09;3408.00;2017-09-02/TGEgasDA
1159;1159;2017-09-02;TGEsgtDA;-;-;2017-09-02/TGEsgtDA
1160;1160;2017-09-03;TGEgasDA;72.57;3888.00;2017-09-03/TGEgasDA
1161;1161;2017-09-03;TGEsgtDA;-;-;2017-09-03/TGEsgtDA
1162;1162;2017-09-04;TGEgasDA;74.59;17904.00;2017-09-04/TGEgasDA
1163;1163;2017-09-04;TGEsgtDA;-;-;2017-09-04/TGEsgtDA
1164;1164;2017-09-05;TGEgasDA;74.19;22032.00;2017-09-05/TGEgasDA
1165;1165;2017-09-05;TGEsgtDA;-;-;2017-09-05/TGEsgtDA
1166;1166;2017-09-06;TGEgasDA;75.93;28488.00;2017-09-06/TGEgasDA
1167;1167;2017-09-06;TGEsgtDA;-;-;2017-09-06/TGEsgtDA
1168;1168;2017-09-07;TGEgasDA;77.22;31104.00;2017-09-07/TGEgasDA
1169;1169;2017-09-07;TGEsgtDA;-;-;2017-09-07/TGEsgtDA
1170;1170;2017-09-08;TGEgasDA;76.75;26592.00;2017-09-08/TGEgasDA
1171;1171;2017-09-08;TGEsgtDA;-;-;2017-09-08/TGEsgtDA
1172;1172;2017-09-09;TGEgasDA;76.22;1920.00;2017-09-09/TGEgasDA
1173;1173;2017-09-09;TGEsgtDA;-;-;2017-09-09/TGEsgtDA
1174;1174;2017-09-10;TGEgasDA;72.75;2832.00;2017-09-10/TGEgasDA
1175;1175;2017-09-10;TGEsgtDA;-;-;2017-09-10/TGEsgtDA
1176;1176;2017-09-11;TGEgasDA;75.95;16656.00;2017-09-11/TGEgasDA
1177;1177;2017-09-11;TGEsgtDA;-;-;2017-09-11/TGEsgtDA
1178;1178;2017-09-12;TGEgasDA;78.85;22392.00;2017-09-12/TGEgasDA
1179;1179;2017-09-12;TGEsgtDA;-;-;2017-09-12/TGEsgtDA
1180;1180;2017-09-13;TGEgasDA;79.97;22248.00;2017-09-13/TGEgasDA
1181;1181;2017-09-13;TGEsgtDA;-;-;2017-09-13/TGEsgtDA
1182;1182;2017-09-14;TGEgasDA;81.03;27168.00;2017-09-14/TGEgasDA
1183;1183;2017-09-14;TGEsgtDA;-;-;2017-09-14/TGEsgtDA
1184;1184;2017-09-15;TGEgasDA;83.16;27984.00;2017-09-15/TGEgasDA
1185;1185;2017-09-15;TGEsgtDA;-;-;2017-09-15/TGEsgtDA
1186;1186;2017-09-16;TGEgasDA;81.47;5328.00;2017-09-16/TGEgasDA
1187;1187;2017-09-16;TGEsgtDA;-;-;2017-09-16/TGEsgtDA
1188;1188;2017-09-17;TGEgasDA;81.10;5688.00;2017-09-17/TGEgasDA
1189;1189;2017-09-17;TGEsgtDA;-;-;2017-09-17/TGEsgtDA
1190;1190;2017-09-18;TGEgasDA;82.15;34464.00;2017-09-18/TGEgasDA
1191;1191;2017-09-18;TGEsgtDA;-;-;2017-09-18/TGEsgtDA
1192;1192;2017-09-19;TGEgasDA;82.52;40896.00;2017-09-19/TGEgasDA
1193;1193;2017-09-19;TGEsgtDA;-;-;2017-09-19/TGEsgtDA
1194;1194;2017-09-20;TGEgasDA;82.60;51144.00;2017-09-20/TGEgasDA
1195;1195;2017-09-20;TGEsgtDA;-;-;2017-09-20/TGEsgtDA
1196;1196;2017-09-21;TGEgasDA;81.90;59856.00;2017-09-21/TGEgasDA
1197;1197;2017-09-21;TGEsgtDA;-;-;2017-09-21/TGEsgtDA
1198;1198;2017-09-22;TGEgasDA;80.33;60624.00;2017-09-22/TGEgasDA
1199;1199;2017-09-22;TGEsgtDA;-;-;2017-09-22/TGEsgtDA
1200;1200;2017-09-23;TGEgasDA;79.28;11208.00;2017-09-23/TGEgasDA
1201;1201;2017-09-23;TGEsgtDA;-;-;2017-09-23/TGEsgtDA
1202;1202;2017-09-24;TGEgasDA;78.13;5712.00;2017-09-24/TGEgasDA
1203;1203;2017-09-24;TGEsgtDA;-;-;2017-09-24/TGEsgtDA
1204;1204;2017-09-25;TGEgasDA;79.23;58512.00;2017-09-25/TGEgasDA
1205;1205;2017-09-25;TGEsgtDA;-;-;2017-09-25/TGEsgtDA
1206;1206;2017-09-26;TGEgasDA;81.00;58320.00;2017-09-26/TGEgasDA
1207;1207;2017-09-26;TGEsgtDA;-;-;2017-09-26/TGEsgtDA
1208;1208;2017-09-27;TGEgasDA;83.15;66408.00;2017-09-27/TGEgasDA
1209;1209;2017-09-27;TGEsgtDA;-;-;2017-09-27/TGEsgtDA
1210;1210;2017-09-28;TGEgasDA;82.57;71808.00;2017-09-28/TGEgasDA
1211;1211;2017-09-28;TGEsgtDA;-;-;2017-09-28/TGEsgtDA
1212;1212;2017-09-29;TGEgasDA;83.42;68232.00;2017-09-29/TGEgasDA
1213;1213;2017-09-29;TGEsgtDA;-;-;2017-09-29/TGEsgtDA
1214;1214;2017-09-30;TGEgasDA;82.43;57696.00;2017-09-30/TGEgasDA
1215;1215;2017-09-30;TGEsgtDA;-;-;2017-09-30/TGEsgtDA
1216;1216;2017-10-01;TGEgasDA;74.98;39528.00;2017-10-01/TGEgasDA
1217;1217;2017-10-01;TGEsgtDA;-;-;2017-10-01/TGEsgtDA
1218;1218;2017-10-02;TGEgasDA;73.64;18744.00;2017-10-02/TGEgasDA
1219;1219;2017-10-02;TGEsgtDA;-;-;2017-10-02/TGEsgtDA
1220;1220;2017-10-03;TGEgasDA;77.68;15072.00;2017-10-03/TGEgasDA
1221;1221;2017-10-03;TGEsgtDA;-;-;2017-10-03/TGEsgtDA
1222;1222;2017-10-04;TGEgasDA;80.50;18912.00;2017-10-04/TGEgasDA
1223;1223;2017-10-04;TGEsgtDA;-;-;2017-10-04/TGEsgtDA
1224;1224;2017-10-05;TGEgasDA;82.57;26352.00;2017-10-05/TGEgasDA
1225;1225;2017-10-05;TGEsgtDA;-;-;2017-10-05/TGEsgtDA
1226;1226;2017-10-06;TGEgasDA;83.39;30936.00;2017-10-06/TGEgasDA
1227;1227;2017-10-06;TGEsgtDA;-;-;2017-10-06/TGEsgtDA
1228;1228;2017-10-07;TGEgasDA;81.86;1296.00;2017-10-07/TGEgasDA
1229;1229;2017-10-07;TGEsgtDA;-;-;2017-10-07/TGEsgtDA
1230;1230;2017-10-08;TGEgasDA;83.50;2784.00;2017-10-08/TGEgasDA
1231;1231;2017-10-08;TGEsgtDA;-;-;2017-10-08/TGEsgtDA
1232;1232;2017-10-09;TGEgasDA;84.72;41352.00;2017-10-09/TGEgasDA
1233;1233;2017-10-09;TGEsgtDA;-;-;2017-10-09/TGEsgtDA
1234;1234;2017-10-10;TGEgasDA;86.27;50184.00;2017-10-10/TGEgasDA
1235;1235;2017-10-10;TGEsgtDA;-;-;2017-10-10/TGEsgtDA
1236;1236;2017-10-11;TGEgasDA;85.89;55632.00;2017-10-11/TGEgasDA
1237;1237;2017-10-11;TGEsgtDA;-;-;2017-10-11/TGEsgtDA
1238;1238;2017-10-12;TGEgasDA;83.53;32976.00;2017-10-12/TGEgasDA
1239;1239;2017-10-12;TGEsgtDA;-;-;2017-10-12/TGEsgtDA
1240;1240;2017-10-13;TGEgasDA;81.46;31320.00;2017-10-13/TGEgasDA
1241;1241;2017-10-13;TGEsgtDA;-;-;2017-10-13/TGEsgtDA
1242;1242;2017-10-14;TGEgasDA;73.59;5664.00;2017-10-14/TGEgasDA
1243;1243;2017-10-14;TGEsgtDA;-;-;2017-10-14/TGEsgtDA
1244;1244;2017-10-15;TGEgasDA;70.11;19248.00;2017-10-15/TGEgasDA
1245;1245;2017-10-15;TGEsgtDA;-;-;2017-10-15/TGEsgtDA
1246;1246;2017-10-16;TGEgasDA;77.02;18120.00;2017-10-16/TGEgasDA
1247;1247;2017-10-16;TGEsgtDA;-;-;2017-10-16/TGEsgtDA
1248;1248;2017-10-17;TGEgasDA;74.95;28944.00;2017-10-17/TGEgasDA
1249;1249;2017-10-17;TGEsgtDA;-;-;2017-10-17/TGEsgtDA
1250;1250;2017-10-18;TGEgasDA;71.30;36672.00;2017-10-18/TGEgasDA
1251;1251;2017-10-18;TGEsgtDA;-;-;2017-10-18/TGEsgtDA
1252;1252;2017-10-19;TGEgasDA;74.78;29400.00;2017-10-19/TGEgasDA
1253;1253;2017-10-19;TGEsgtDA;-;-;2017-10-19/TGEsgtDA
1254;1254;2017-10-20;TGEgasDA;75.83;33432.00;2017-10-20/TGEgasDA
1255;1255;2017-10-20;TGEsgtDA;-;-;2017-10-20/TGEsgtDA
1256;1256;2017-10-21;TGEgasDA;75.88;14208.00;2017-10-21/TGEgasDA
1257;1257;2017-10-21;TGEsgtDA;-;-;2017-10-21/TGEsgtDA
1258;1258;2017-10-22;TGEgasDA;76.39;13896.00;2017-10-22/TGEgasDA
1259;1259;2017-10-22;TGEsgtDA;-;-;2017-10-22/TGEsgtDA
1260;1260;2017-10-23;TGEgasDA;78.51;39312.00;2017-10-23/TGEgasDA
1261;1261;2017-10-23;TGEsgtDA;-;-;2017-10-23/TGEsgtDA
1262;1262;2017-10-24;TGEgasDA;79.93;64176.00;2017-10-24/TGEgasDA
1263;1263;2017-10-24;TGEsgtDA;-;-;2017-10-24/TGEsgtDA
1264;1264;2017-10-25;TGEgasDA;80.73;52656.00;2017-10-25/TGEgasDA
1265;1265;2017-10-25;TGEsgtDA;-;-;2017-10-25/TGEsgtDA
1266;1266;2017-10-26;TGEgasDA;80.70;33960.00;2017-10-26/TGEgasDA
1267;1267;2017-10-26;TGEsgtDA;-;-;2017-10-26/TGEsgtDA
1268;1268;2017-10-27;TGEgasDA;81.28;64488.00;2017-10-27/TGEgasDA
1269;1269;2017-10-27;TGEsgtDA;-;-;2017-10-27/TGEsgtDA
1270;1270;2017-10-28;TGEgasDA;78.89;2050.00;2017-10-28/TGEgasDA
1271;1271;2017-10-28;TGEsgtDA;-;-;2017-10-28/TGEsgtDA
1272;1272;2017-10-29;TGEgasDA;79.93;15480.00;2017-10-29/TGEgasDA
1273;1273;2017-10-29;TGEsgtDA;-;-;2017-10-29/TGEsgtDA
1274;1274;2017-10-30;TGEgasDA;82.55;96432.00;2017-10-30/TGEgasDA
1275;1275;2017-10-30;TGEsgtDA;-;-;2017-10-30/TGEsgtDA
1276;1276;2017-10-31;TGEgasDA;83.97;117744.00;2017-10-31/TGEgasDA
1277;1277;2017-10-31;TGEsgtDA;-;-;2017-10-31/TGEsgtDA
1278;1278;2017-11-01;TGEgasDA;86.32;45144.00;2017-11-01/TGEgasDA
1279;1279;2017-11-01;TGEsgtDA;-;-;2017-11-01/TGEsgtDA
1280;1280;2017-11-02;TGEgasDA;86.01;10536.00;2017-11-02/TGEgasDA
1281;1281;2017-11-02;TGEsgtDA;-;-;2017-11-02/TGEsgtDA
1282;1282;2017-11-03;TGEgasDA;86.10;7200.00;2017-11-03/TGEgasDA
1283;1283;2017-11-03;TGEsgtDA;-;-;2017-11-03/TGEsgtDA
1284;1284;2017-11-04;TGEgasDA;77.58;1920.00;2017-11-04/TGEgasDA
1285;1285;2017-11-04;TGEsgtDA;-;-;2017-11-04/TGEsgtDA
1286;1286;2017-11-05;TGEgasDA;77.00;17760.00;2017-11-05/TGEgasDA
1287;1287;2017-11-05;TGEsgtDA;-;-;2017-11-05/TGEsgtDA
1288;1288;2017-11-06;TGEgasDA;85.93;11208.00;2017-11-06/TGEgasDA
1289;1289;2017-11-06;TGEsgtDA;-;-;2017-11-06/TGEsgtDA
1290;1290;2017-11-07;TGEgasDA;88.69;16608.00;2017-11-07/TGEgasDA
1291;1291;2017-11-07;TGEsgtDA;-;-;2017-11-07/TGEsgtDA
1292;1292;2017-11-08;TGEgasDA;90.91;32760.00;2017-11-08/TGEgasDA
1293;1293;2017-11-08;TGEsgtDA;-;-;2017-11-08/TGEsgtDA
1294;1294;2017-11-09;TGEgasDA;90.80;39480.00;2017-11-09/TGEgasDA
1295;1295;2017-11-09;TGEsgtDA;-;-;2017-11-09/TGEsgtDA
1296;1296;2017-11-10;TGEgasDA;91.01;28632.00;2017-11-10/TGEgasDA
1297;1297;2017-11-10;TGEsgtDA;-;-;2017-11-10/TGEsgtDA
1298;1298;2017-11-11;TGEgasDA;86.99;6552.00;2017-11-11/TGEgasDA
1299;1299;2017-11-11;TGEsgtDA;-;-;2017-11-11/TGEsgtDA
1300;1300;2017-11-12;TGEgasDA;90.58;15840.00;2017-11-12/TGEgasDA
1301;1301;2017-11-12;TGEsgtDA;-;-;2017-11-12/TGEsgtDA
1302;1302;2017-11-13;TGEgasDA;92.00;63120.00;2017-11-13/TGEgasDA
1303;1303;2017-11-13;TGEsgtDA;-;-;2017-11-13/TGEsgtDA
1304;1304;2017-11-14;TGEgasDA;93.11;87192.00;2017-11-14/TGEgasDA
1305;1305;2017-11-14;TGEsgtDA;-;-;2017-11-14/TGEsgtDA
1306;1306;2017-11-15;TGEgasDA;92.21;84960.00;2017-11-15/TGEgasDA
1307;1307;2017-11-15;TGEsgtDA;-;-;2017-11-15/TGEsgtDA
1308;1308;2017-11-16;TGEgasDA;90.34;74304.00;2017-11-16/TGEgasDA
1309;1309;2017-11-16;TGEsgtDA;-;-;2017-11-16/TGEsgtDA
1310;1310;2017-11-17;TGEgasDA;91.67;77688.00;2017-11-17/TGEgasDA
1311;1311;2017-11-17;TGEsgtDA;-;-;2017-11-17/TGEsgtDA
1312;1312;2017-11-18;TGEgasDA;89.91;10848.00;2017-11-18/TGEgasDA
1313;1313;2017-11-18;TGEsgtDA;-;-;2017-11-18/TGEsgtDA
1314;1314;2017-11-19;TGEgasDA;89.51;12624.00;2017-11-19/TGEgasDA
1315;1315;2017-11-19;TGEsgtDA;-;-;2017-11-19/TGEsgtDA
1316;1316;2017-11-20;TGEgasDA;91.38;91608.00;2017-11-20/TGEgasDA
1317;1317;2017-11-20;TGEsgtDA;-;-;2017-11-20/TGEsgtDA
1318;1318;2017-11-21;TGEgasDA;91.47;108384.00;2017-11-21/TGEgasDA
1319;1319;2017-11-21;TGEsgtDA;-;-;2017-11-21/TGEsgtDA
1320;1320;2017-11-22;TGEgasDA;92.96;104736.00;2017-11-22/TGEgasDA
1321;1321;2017-11-22;TGEsgtDA;-;-;2017-11-22/TGEsgtDA
1322;1322;2017-11-23;TGEgasDA;92.54;59760.00;2017-11-23/TGEgasDA
1323;1323;2017-11-23;TGEsgtDA;-;-;2017-11-23/TGEsgtDA
1324;1324;2017-11-24;TGEgasDA;93.04;60912.00;2017-11-24/TGEgasDA
1325;1325;2017-11-24;TGEsgtDA;-;-;2017-11-24/TGEsgtDA
1326;1326;2017-11-25;TGEgasDA;94.39;13776.00;2017-11-25/TGEgasDA
1327;1327;2017-11-25;TGEsgtDA;-;-;2017-11-25/TGEsgtDA
1328;1328;2017-11-26;TGEgasDA;93.80;34728.00;2017-11-26/TGEgasDA
1329;1329;2017-11-26;TGEsgtDA;-;-;2017-11-26/TGEsgtDA
1330;1330;2017-11-27;TGEgasDA;93.61;86784.00;2017-11-27/TGEgasDA
1331;1331;2017-11-27;TGEsgtDA;-;-;2017-11-27/TGEsgtDA
1332;1332;2017-11-28;TGEgasDA;96.88;104208.00;2017-11-28/TGEgasDA
1333;1333;2017-11-28;TGEsgtDA;-;-;2017-11-28/TGEsgtDA
